designation phot_g_mean_mag phot_bp_mean_mag phot_rp_mean_mag ra dec Sector_17_x Sector_17_y Sector_18_x Sector_18_y Sector_24_x Sector_24_y
"Gaia DR2 2015669349341459328" 12.0088005 12.3718824 11.4475851 351.40691249798857 61.646657654142146 7.641016821587465 7.501006462469427 7.931204502614632 7.548177416519875 7.753108069173436 7.017716883340267
"Gaia DR2 2015657117274606592" 12.0367594 12.3475485 11.5473652 351.3498957523525 61.59807732469344 -1.4759514264550049 4.327679349228298 -2.3477864075714265 7.878977763570992 -1.7231525447744236 5.656095760266316
"Gaia DR2 2015657671334076032" 12.4840307 13.3172951 11.5912666 351.48848255073085 61.65395956913192 13.541950316974177 3.8367332051260936 12.09772193604904 1.9275833204191626 12.775072364471313 2.5153761014918476
"Gaia DR2 2015669624218292736" 12.5259991 13.5900536 11.505 351.3923596419063 61.67302399192305 9.764574735817746 11.810667753171371 11.878047763299907 10.847004776634755 10.65440124252482 10.696488774390556
"Gaia DR2 2015669628522970496" 12.7833719 13.286376 12.1450443 351.3877687490847 61.670243701732765 9.1608559869427 11.704045122246411 11.242392737272784 10.966780032502028 10.047011527205889 10.703779733335526
"Gaia DR2 2015657636974356736" 12.8255482 13.1032448 12.3711557 351.4421050822305 61.62824324057402 7.71336025718144 3.0684158731745113 6.074328350244295 3.3307879926442343 6.961788143606544 2.8315608440566837
"Gaia DR2 2015669491084041728" 12.84861 13.14417 12.3890944 351.4775757477141 61.67546724770562 15.329739628378409 7.29979207675081 15.34868000171236 4.548641465643083 15.185517161957698 5.456963349361043
"Gaia DR2 2015669181846381952" 12.884779 13.1395731 12.4546976 351.3126307332048 61.6427249753173 1.342531160035195 12.341751627615835 3.8882188905839765 14.426367430866021 2.573508371965648 12.698602468087849
"Gaia DR2 2015669594163243264" 12.9079313 13.2075109 12.4254932 351.36848610639174 61.656846013011716 6.427248117062015 11.02982047324641 8.280931049479772 11.328109646531065 7.259568512275456 10.556550777303752
"Gaia DR2 2015657602614619520" 13.1199656 13.8790636 12.2702971 351.4757744775922 61.63622001127246 10.719531379829144 2.211414379962082 8.63599299809274 1.4221153947468563 9.716450632911661 1.4885383248192632
"Gaia DR2 2015657117274604928" 13.1315641 13.4221916 12.65873 351.3642361428209 61.605009102452584 0.21072407616681232 4.426461714852367 -0.6584651561409824 7.356101039686223 -0.06492287403054053 5.448273981359009
"Gaia DR2 2015669388004845440" 13.2884636 13.6023512 12.7864971 351.42922776135765 61.648469770054184 9.233753082075408 6.473195877096977 9.03893800701914 5.994445041513775 9.101061854721213 5.765970063333722
"Gaia DR2 2015669349341458816" 13.3568888 13.6834774 12.8454857 351.42208852004734 61.65107605321076 9.08968635939382 7.222991603168342 9.224359353879933 6.75600596338966 9.10681236267903 6.4975923606466495
"Gaia DR2 2015657190297985536" 13.4260263 13.7495728 12.9183054 351.41816133388767 61.58982727890222 1.818701138970896 -0.6477375247373729 -1.295407576777004 1.9709922545753829 0.5112923822602777 0.38416195667279407
"Gaia DR2 2015669937760618880" 13.479826 13.7903061 12.9895592 351.3171029385027 61.65016218905776 2.4745272991580434 13.068701885911205 5.309272683866487 14.700082948974181 3.8148330560200208 13.181125457422532
"Gaia DR2 2015669662882728448" 13.4899807 13.8999538 12.900176 351.44509742415136 61.670269243591804 12.718760700027765 8.454053640855644 13.30202509384418 6.593975088054086 12.8726652265522 7.009370163751946
"Gaia DR2 2015669388004846464" 13.615262 13.8987217 13.1583624 351.449814613261 61.65336262478921 11.072714067008956 5.951389634995432 10.607045342064545 4.829168095787962 10.786643275607371 4.946707742624033
"Gaia DR2 2015670380132574336" 13.647419 13.9948711 13.1149654 351.3909518243597 61.682450398635126 10.759353319345578 13.13576841573257 13.425266160406228 11.736400014515684 11.878654860482442 11.766639454452838
"Gaia DR2 2015669972120353664" 13.7114782 14.0416641 13.20024 351.34106611679624 61.65845263852281 4.912183159564299 12.800271889753109 7.5719463878403435 13.555619952188696 6.131448559832144 12.493635756302108
"Gaia DR2 2015657121578279168" 13.7622442 14.0802 13.2607346 351.3620998636003 61.608832542343414 0.517175510839353 5.05291468624591 -0.08692745500754118 7.836433557049803 0.35464326098309584 5.9834183841194815
