TBJD bkgsubflux
1790.6813354492188 201.109130859375
1790.7022094726562 201.85137939453125
1790.7230224609375 200.86001586914062
1790.7438354492188 200.87110900878906
1790.7647094726562 201.2586669921875
1790.7855224609375 200.86183166503906
1790.8272094726562 201.32733154296875
1791.5772094726562 201.18106079101562
1791.5980224609375 201.14328002929688
1791.6188354492188 200.79708862304688
1791.6397094726562 200.51986694335938
1791.7022094726562 201.3178253173828
1791.7230224609375 201.57217407226562
1791.7438354492188 201.52603149414062
1791.7647094726562 201.6132354736328
1791.7855224609375 202.485595703125
1791.8063354492188 203.19522094726562
1791.8272094726562 202.49810791015625
1791.8480224609375 202.54595947265625
1791.8688354492188 202.34754943847656
1791.8897094726562 203.0206298828125
1791.9105224609375 203.032470703125
1791.9313354492188 202.5746307373047
1791.9522094726562 202.26458740234375
1791.9730224609375 202.85325622558594
1791.9938354492188 202.72344970703125
1792.0147094726562 202.7176513671875
1792.0355224609375 202.33737182617188
1792.0563354492188 203.41415405273438
1792.0772094726562 203.14901733398438
1792.0980224609375 203.46078491210938
1792.1188354492188 204.07749938964844
1792.1397094726562 204.8551025390625
1792.1605224609375 204.1704864501953
1792.1813354492188 204.51565551757812
1792.2022094726562 203.4259796142578
1792.2230224609375 203.9399871826172
1792.2438354492188 204.89129638671875
1792.2647094726562 205.52561950683594
1792.2855224609375 205.29000854492188
1792.3063354492188 205.99887084960938
1792.3272094726562 205.69461059570312
1792.3480224609375 205.6142120361328
1792.3688354492188 204.58657836914062
1792.3897094726562 205.47097778320312
1792.4105224609375 205.45237731933594
1792.4313354492188 204.57786560058594
1792.4522094726562 205.38510131835938
1792.4730224609375 203.60037231445312
1792.4938354492188 204.37449645996094
1792.5147094726562 204.49667358398438
1792.5355224609375 204.23495483398438
1792.5563354492188 204.06785583496094
1792.5772094726562 204.59970092773438
1792.5980224609375 203.4510498046875
1792.6188354492188 205.17922973632812
1792.6397094726562 204.74758911132812
1792.6605224609375 204.37838745117188
1792.6813354492188 204.6278533935547
1792.7022094726562 202.9790496826172
1792.7230224609375 204.23272705078125
1792.7438354492188 203.5533447265625
1792.7647094726562 203.6375732421875
1792.7855224609375 203.56631469726562
1792.8063354492188 203.45590209960938
1792.8272094726562 203.4975128173828
1792.8480224609375 205.0579833984375
1792.8688354492188 204.05841064453125
1792.8897094726562 204.3435516357422
1792.9105224609375 204.50454711914062
1792.9313354492188 205.3899688720703
1792.9522094726562 205.34283447265625
1792.9730224609375 204.4174346923828
1792.9938354492188 205.50302124023438
1793.0147094726562 205.65109252929688
1793.0355224609375 204.85772705078125
1793.0563354492188 206.77142333984375
1793.0772094726562 205.34109497070312
1793.0980224609375 205.12686157226562
1793.1188354492188 206.03384399414062
